Age,Candidate,Criminal_Case,District,Education,Liabilities,Party,State,Total_Assets,Winner,Year
61,Ghulam Mohammed,0,BAGHPAT,Post Graduate,"Rs 56,78,445",SP,UTTAR PRADESH,"Rs 2,21,08,104",No,2014
27,Jaivindra Kumar,0,BAGHPAT,Graduate,Rs 0,IND,UTTAR PRADESH,"Rs 2,44,000",No,2014
47,Krishan Pal, 1 ,BAGHPAT,12th Pass,Rs 0,Naitik Party,UTTAR PRADESH,"Rs 44,14,465",No,2014
32,Nishant Tyagi,0,BAGHPAT,12th Pass,Rs 0,IND,UTTAR PRADESH,"Rs 11,47,000",No,2014
46,Prashant Chaudhary,0,BAGHPAT,Post Graduate,"Rs 39,50,000",BSP,UTTAR PRADESH,"Rs 25,82,89,957",No,2014
28,Ruksana,0,BAGHPAT,Illiterate,Rs 0,IND,UTTAR PRADESH,"Rs 5,62,000",No,2014
40,Ssomendar Dhaka,0,BAGHPAT,Graduate Professional,"Rs 2,50,000",AAP,UTTAR PRADESH,"Rs 64,88,116",No,2014
35,Subhash Chand Kashyap,0,BAGHPAT,Post Graduate,"Rs 2,00,000",IND,UTTAR PRADESH,"Rs 25,39,312",No,2014
45,Yunush,0,BAGHPAT,Literate,Rs 0,Navbharat Nirman Party,UTTAR PRADESH,"Rs 48,10,000",No,2014
37,Dharmandra Yadav,0,BADAUN,Post Graduate,"Rs 89,50,291",SP,UTTAR PRADESH,"Rs 2,49,87,715",Yes,2014
41,Ajit Pal Singh,0,BADAUN,Graduate,Rs 0,Peace Party,UTTAR PRADESH,"Rs 89,00,000",No,2014
46,Akmal Khan Urf Chaman,0,BADAUN,Literate,"Rs 15,10,000",BSP,UTTAR PRADESH,"Rs 1,46,79,858",No,2014
50,Anil Kumar Sharma,0,BADAUN,Graduate Professional,Rs 0,Labour Party of India (V.V. Prasad),UTTAR PRADESH,"Rs 49,00,000",No,2014
40,Atul Kumar,0,BADAUN,Graduate,"Rs 5,93,817",IND,UTTAR PRADESH,"Rs 21,56,941",No,2014
54,Har Bhagwan,0,BADAUN,Graduate,"Rs 44,625",IND,UTTAR PRADESH,"Rs 63,95,670",No,2014
58,Hema Mehra,0,BADAUN,10th Pass,Rs 0,AAP,UTTAR PRADESH,"Rs 10,33,68,000",No,2014
40,Madan Lal,0,BADAUN,10th Pass,Rs 0,National Party,UTTAR PRADESH,"Rs 14,47,000",No,2014
43,Mahendrapal,0,BADAUN,10th Pass,Rs 0,Bhartiya Shakti Chetna Party,UTTAR PRADESH,"Rs 43,00,000",No,2014
54,Munshi Lal,0,BADAUN,12th Pass,"Rs 50,000",IND,UTTAR PRADESH,"Rs 8,32,251",No,2014
49,Paglanand,0,BADAUN,10th Pass,Rs 0,Mahan Dal,UTTAR PRADESH,"Rs 17,95,492",No,2014
